# x_coordinates, y_coordinates, TEP, TED, times, high, low
-3.468688315923832732e+01,1.789479862729398718e+01,1.783284667968750000e+03,1.384431272745132446e-01,1.445700000000000041e-01,6.320595741271972656e-01,4.157654345035552979e-01
-3.467774988949186366e+01,1.788421298779326207e+01,1.205061401367187500e+03,6.000203490257263184e-01,1.445800000000000141e-01,6.086372733116149902e-01,3.577055335044860840e-01
-3.468106375987607493e+01,1.788372921593802900e+01,1.409619995117187500e+03,6.939751505851745605e-01,1.445900000000000241e-01,6.826426982879638672e-01,4.219452738761901855e-01
-3.468235821768768545e+01,1.787114687673636837e+01,2.057541503906250000e+03,5.005103945732116699e-01,1.446000000000000063e-01,8.883319497108459473e-01,6.029152274131774902e-01
-3.467349768001992771e+01,1.786756226987096952e+01,1.572943725585937500e+03,9.614796042442321777e-01,1.446100000000000163e-01,6.805827617645263672e-01,4.338471889495849609e-01
-3.467419744469747656e+01,1.785724118737248745e+01,3.678670898437500000e+03,9.576303362846374512e-01,1.446199999999999986e-01,7.767897844314575195e-01,5.766699910163879395e-01
-3.467298571838760779e+01,1.785671883579139774e+01,3.293942626953125000e+03,6.830186247825622559e-01,1.446300000000000086e-01,9.833945631980895996e-01,7.204083204269409180e-01
-3.467459625056287820e+01,1.785780823433071518e+01,1.933857788085937500e+03,1.074360132217407227e+00,1.446400000000000186e-01,8.066971302032470703e-01,5.404302477836608887e-01
-3.467072352469855900e+01,1.786000921347377712e+01,1.451484619140625000e+03,1.280197620391845703e+00,1.446500000000000008e-01,6.683756709098815918e-01,4.166809618473052979e-01
-3.466781429604392883e+01,1.786062438467500613e+01,1.676228515625000000e+03,8.579403758049011230e-01,1.446600000000000108e-01,7.065990567207336426e-01,4.578798711299896240e-01
-3.466783755002153811e+01,1.786106733553063464e+01,1.683637817382812500e+03,6.725329756736755371e-01,1.446700000000000208e-01,7.899124026298522949e-01,5.124302506446838379e-01
-3.466716963180439848e+01,1.785776934293974350e+01,2.171997314453125000e+03,7.602257132530212402e-01,1.446800000000000030e-01,7.627516388893127441e-01,5.232639908790588379e-01
