# x_coordinates, y_coordinates, TEP, TED, times, high, low
-5.076449845184329845e+00,1.804939906462454502e+01,1.187898925781250000e+03,-1.494944188743829727e-02,6.304100000000000259e-01,8.988605737686157227e-01,5.256291627883911133e-01
-5.079815438464778232e+00,1.803831000330539069e+01,1.173684082031250000e+03,1.084141254425048828e+00,6.304200000000000914e-01,6.863811016082763672e-01,3.996673524379730225e-01
-5.076203012032000750e+00,1.802877222635745369e+01,1.722535278320312500e+03,1.188917875289916992e+00,6.304300000000000459e-01,8.423265218734741211e-01,5.495092272758483887e-01
-5.078329223561024897e+00,1.802092724490169218e+01,1.371615722656250000e+03,7.542759776115417480e-01,6.304400000000000004e-01,8.647570013999938965e-01,5.301305055618286133e-01
-5.071425695616748719e+00,1.802237351129260645e+01,1.405283325195312500e+03,1.183372259140014648e+00,6.304500000000000659e-01,8.021194338798522949e-01,4.953403174877166748e-01
-5.072643268202551070e+00,1.801599124790938689e+01,1.292625610351562500e+03,9.725493788719177246e-01,6.304600000000000204e-01,1.052211999893188477e+00,6.331277489662170410e-01
-5.071025743004423880e+00,1.801000661346622422e+01,1.310044433593750000e+03,1.148888587951660156e+00,6.304700000000000859e-01,8.819231986999511719e-01,5.329533815383911133e-01
-5.072765265526391509e+00,1.802070459222088417e+01,1.385558959960937500e+03,1.614647626876831055e+00,6.304800000000000404e-01,7.994491457939147949e-01,4.916019141674041748e-01
-5.071976005046238356e+00,1.802185214421039916e+01,1.660856933593750000e+03,1.102110862731933594e+00,6.304900000000001059e-01,1.363187313079833984e+00,8.813128471374511719e-01
-5.074627009282520973e+00,1.802395071859726983e+01,1.391766479492187500e+03,1.155917167663574219e+00,6.305000000000000604e-01,7.999832034111022949e-01,4.925937354564666748e-01
-5.078863265153529483e+00,1.802708630910798249e+01,1.635833374023437500e+03,1.719294309616088867e+00,6.305100000000000149e-01,7.844191789627075195e-01,5.051822662353515625e-01
-5.073570866976877092e+00,1.803109626385174025e+01,1.440812744140625000e+03,9.560317397117614746e-01,6.305200000000000804e-01,8.971820473670959473e-01,5.581305027008056641e-01
-5.077349168297824455e+00,1.804568265678791050e+01,1.198101074218750000e+03,1.045721292495727539e+00,6.305300000000000349e-01,9.515798687934875488e-01,5.581305027008056641e-01
-5.075920240650408033e+00,1.805364435380286281e+01,1.674764160156250000e+03,1.193174839019775391e+00,6.305400000000001004e-01,1.249051094055175781e+00,8.092148303985595703e-01
-5.074238242716003988e+00,1.806194951246926550e+01,1.281089599609375000e+03,1.512821435928344727e+00,6.305500000000000549e-01,1.113399982452392578e+00,6.679942011833190918e-01
-5.076533606383926589e+00,1.807016348207250900e+01,1.516308837890625000e+03,1.891232252120971680e+00,6.305600000000000094e-01,1.131252765655517578e+00,7.139996290206909180e-01
-5.074420531392932254e+00,1.807881627166131722e+01,1.463560913085937500e+03,1.760999679565429688e+00,6.305700000000000749e-01,8.882556557655334473e-01,5.550787448883056641e-01
-5.080755644958426132e+00,1.808579206899758063e+01,1.606998535156250000e+03,1.528034925460815430e+00,6.305800000000000294e-01,7.913619875907897949e-01,5.073184967041015625e-01
-5.072369194792903713e+00,1.809901254904682233e+01,1.695316650390625000e+03,1.271835088729858398e+00,6.305900000000000949e-01,7.967788577079772949e-01,5.177708268165588379e-01
-5.072593579180711743e+00,1.811087509760016800e+01,1.457747314453125000e+03,1.054080247879028320e+00,6.306000000000000494e-01,8.128769397735595703e-01,5.073947906494140625e-01
-5.076417161688158153e+00,1.813235286709447891e+01,1.180949096679687500e+03,1.016423225402832031e+00,6.306100000000000039e-01,9.068714380264282227e-01,5.292149782180786133e-01
-5.074387907540128140e+00,1.813701504903978901e+01,1.379221435546875000e+03,1.103761911392211914e+00,6.306200000000000694e-01,7.850295305252075195e-01,4.820651412010192871e-01
-5.072976903176655838e+00,1.814389032869742024e+01,8.365789184570312500e+02,1.083338975906372070e+00,6.306300000000000239e-01,7.809859514236450195e-01,3.938689827919006348e-01
-5.072540332888682002e+00,1.816600877972318528e+01,9.762072143554687500e+02,8.534736037254333496e-01,6.306400000000000894e-01,8.274491429328918457e-01,4.482667744159698486e-01
-5.069481782235289558e+00,1.817294546055060778e+01,1.383977905273437500e+03,7.322639822959899902e-01,6.306500000000000439e-01,1.010097503662109375e+00,6.209206581115722656e-01
-5.068325668975774967e+00,1.818531387136076205e+01,1.924260498046875000e+03,1.041521549224853516e+00,6.306599999999999984e-01,8.360704183578491211e-01,5.595037937164306641e-01
-5.072353302421202415e+00,1.819625412222376681e+01,1.662646484375000000e+03,1.211710691452026367e+00,6.306700000000000639e-01,8.749804496765136719e-01,5.658361911773681641e-01
-5.070452684320295056e+00,1.820317815763627323e+01,1.512900634765625000e+03,9.523171782493591309e-01,6.306800000000000184e-01,7.037761807441711426e-01,4.439180195331573486e-01
-5.067276335530087827e+00,1.820972710204275202e+01,1.188886962890625000e+03,1.017499685287475586e+00,6.306900000000000839e-01,8.229478001594543457e-01,4.813784956932067871e-01
-5.069087935304768422e+00,1.822282545471091098e+01,1.449490356445312500e+03,9.274548888206481934e-01,6.307000000000000384e-01,7.973129153251647949e-01,4.968662261962890625e-01
-5.073115719650330036e+00,1.823409320969684444e+01,1.775522949218750000e+03,1.043051004409790039e+00,6.307100000000001039e-01,9.523428082466125488e-01,6.258034706115722656e-01
-5.069821409012510216e+00,1.824033119509752865e+01,1.293951171875000000e+03,1.035041332244873047e+00,6.307200000000000584e-01,9.981193542480468750e-01,6.007789373397827148e-01
-5.070526730774018276e+00,1.825048157488089728e+01,1.737772094726562500e+03,1.377517700195312500e+00,6.307300000000000129e-01,9.292256236076354980e-01,6.074928641319274902e-01
-5.067103549179024391e+00,1.825453433464043940e+01,2.058801269531250000e+03,1.395493268966674805e+00,6.307400000000000784e-01,1.056255578994750977e+00,7.169750928878784180e-01
-5.064378236632425256e+00,1.826536872493220898e+01,1.534193481445312500e+03,1.403984546661376953e+00,6.307500000000000329e-01,8.072311878204345703e-01,5.111332535743713379e-01
-5.069520812614353389e+00,1.828341034486375349e+01,1.591530883789062500e+03,1.425039291381835938e+00,6.307600000000000984e-01,9.441792964935302734e-01,6.037544608116149902e-01
-5.070438717461309253e+00,1.829163813856371235e+01,1.515471801757812500e+03,1.105632305145263672e+00,6.307700000000000529e-01,1.021770596504211426e+00,6.448007225990295410e-01
-5.066432836527043015e+00,1.829039143634584264e+01,1.342488403320312500e+03,1.526659250259399414e+00,6.307800000000000074e-01,9.857596755027770996e-01,6.003211736679077148e-01
-5.070768679396613798e+00,1.830419234940458040e+01,1.532251220703125000e+03,1.451766014099121094e+00,6.307900000000000729e-01,9.310567378997802734e-01,5.893348455429077148e-01
-5.065914964820080080e+00,1.831783902334504077e+01,1.262050170898437500e+03,1.563616514205932617e+00,6.308000000000000274e-01,7.650404572486877441e-01,4.567354321479797363e-01
-5.066721832519959889e+00,1.832252848005115453e+01,1.557199707031250000e+03,1.185910224914550781e+00,6.308100000000000929e-01,1.087078452110290527e+00,6.911113262176513672e-01
-5.071208876190331338e+00,1.832821448187265290e+01,1.163153808593750000e+03,1.276883602142333984e+00,6.308200000000000474e-01,1.069149255752563477e+00,6.205391883850097656e-01
-5.070613917842427654e+00,1.835060124124332503e+01,1.430983154296875000e+03,1.575427770614624023e+00,6.308300000000000018e-01,9.783591628074645996e-01,6.074165701866149902e-01
-5.065115906344980878e+00,1.835999866680360526e+01,1.456320190429687500e+03,1.659500122070312500e+00,6.308400000000000674e-01,7.254437208175659180e-01,4.526918530464172363e-01
-5.070241850738531397e+00,1.836581400948467646e+01,1.079545166015625000e+03,1.343227148056030273e+00,6.308500000000000218e-01,7.721357941627502441e-01,4.358308315277099609e-01
