# x_coordinates, y_coordinates, TEP, TED, times, high, low
7.908278726716208240e+00,1.807748511408504299e+01,1.207046508789062500e+03,3.476435244083404541e-01,1.142000000000000126e+00,5.976508855819702148e-01,3.514494001865386963e-01
7.922299665271786751e+00,1.807724086462356894e+01,1.747590576171875000e+03,1.315516948699951172e+00,1.142010000000000192e+00,6.422067284584045410e-01,4.204193949699401855e-01
7.914018581535914088e+00,1.807117362715730025e+01,9.156555786132812500e+02,7.347185015678405762e-01,1.142020000000000035e+00,8.067734241485595703e-01,4.248444437980651855e-01
7.911211814009257992e+00,1.807085233893615595e+01,1.269391113281250000e+03,9.210628867149353027e-01,1.142030000000000101e+00,7.028606534004211426e-01,4.204193949699401855e-01
7.915859949837477316e+00,1.807148300172236333e+01,1.586855102539062500e+03,9.353525042533874512e-01,1.142040000000000166e+00,9.025226831436157227e-01,5.766699910163879395e-01
7.920984430374409691e+00,1.807111360288675783e+01,1.188559936523437500e+03,8.989722132682800293e-01,1.142050000000000010e+00,7.915908694267272949e-01,4.629915654659271240e-01
7.914879136699376261e+00,1.807199511465002217e+01,1.843688232421875000e+03,1.245078563690185547e+00,1.142060000000000075e+00,7.744246721267700195e-01,5.133457779884338379e-01
7.916718395484670268e+00,1.808798462553364672e+01,1.066653320312500000e+03,1.012550115585327148e+00,1.142070000000000141e+00,1.038402676582336426e+00,5.833838582038879395e-01
7.922752588312500066e+00,1.809783948803311304e+01,1.291230834960937500e+03,1.116517305374145508e+00,1.142079999999999984e+00,6.608988046646118164e-01,3.975311219692230225e-01
7.922162209444334025e+00,1.810807137204115236e+01,1.196694335937500000e+03,1.168118238449096680e+00,1.142090000000000050e+00,7.323102355003356934e-01,4.293458163738250732e-01
7.924038507494148398e+00,1.813074486045352174e+01,1.240740600585937500e+03,9.020394682884216309e-01,1.142100000000000115e+00,7.051494717597961426e-01,4.185883402824401855e-01
7.918385694955649257e+00,1.813895909563665398e+01,1.271974121093750000e+03,1.068148136138916016e+00,1.142110000000000181e+00,6.760050654411315918e-01,4.046264886856079102e-01
7.923486507358019182e+00,1.816002124713162047e+01,1.252082031250000000e+03,9.644836783409118652e-01,1.142120000000000024e+00,6.549478769302368164e-01,3.899779915809631348e-01
7.918816745098026466e+00,1.817913165657543928e+01,1.406118408203125000e+03,8.244997859001159668e-01,1.142130000000000090e+00,7.530622482299804688e-01,4.651278257369995117e-01
7.927260870527800485e+00,1.819848687235397122e+01,1.799156127929687500e+03,8.980364203453063965e-01,1.142140000000000155e+00,7.062175869941711426e-01,4.655092954635620117e-01
7.922106069161416464e+00,1.821294416911076297e+01,1.079367065429687500e+03,9.851533770561218262e-01,1.142149999999999999e+00,6.221413612365722656e-01,3.511442244052886963e-01
7.926475056854208390e+00,1.823725107214491103e+01,1.050863647460937500e+03,7.833105921745300293e-01,1.142160000000000064e+00,7.299451231956481934e-01,4.076782464981079102e-01
7.925332744361242909e+00,1.826262784437696496e+01,1.126953247070312500e+03,7.960957884788513184e-01,1.142170000000000130e+00,6.267952919006347656e-01,3.596128821372985840e-01
7.928959775341930083e+00,1.828611267002922247e+01,1.532518310546875000e+03,7.868296504020690918e-01,1.142180000000000195e+00,7.535963058471679688e-01,4.770297110080718994e-01
7.920068191231079524e+00,1.830854088755689801e+01,1.200953002929687500e+03,8.879668116569519043e-01,1.142190000000000039e+00,7.498579025268554688e-01,4.401795864105224609e-01
7.927463378961801865e+00,1.833544104288105103e+01,1.123323974609375000e+03,1.138847589492797852e+00,1.142200000000000104e+00,7.251385450363159180e-01,4.155365526676177979e-01
7.928434013952497139e+00,1.835689807346715341e+01,1.042351806640625000e+03,9.905881285667419434e-01,1.142210000000000170e+00,7.687788605690002441e-01,4.279725253582000732e-01
7.928422171252060835e+00,1.838031681042713927e+01,1.024309692382812500e+03,1.027554988861083984e+00,1.142220000000000013e+00,7.052257657051086426e-01,3.898254036903381348e-01
7.925290692844737528e+00,1.840451432270007004e+01,1.087758544921875000e+03,9.588415026664733887e-01,1.142230000000000079e+00,8.832202553749084473e-01,4.999942779541015625e-01
7.925351517357389852e+00,1.842922536596184102e+01,1.431224243164062500e+03,9.239537119865417480e-01,1.142240000000000144e+00,9.323537349700927734e-01,5.788825154304504395e-01
7.926760141772662749e+00,1.844408651630451246e+01,1.404532104492187500e+03,1.238213300704956055e+00,1.142249999999999988e+00,7.349042296409606934e-01,4.537599682807922363e-01
7.919888707241319992e+00,1.846613823026840961e+01,1.080968627929687500e+03,1.289344549179077148e+00,1.142260000000000053e+00,8.005172610282897949e-01,4.520815014839172363e-01
7.923900709515153906e+00,1.848992942920867932e+01,1.558754394531250000e+03,1.000352621078491211e+00,1.142270000000000119e+00,8.002883791923522949e-01,5.089207291603088379e-01
7.926200076823856300e+00,1.850494586119452478e+01,1.162137451171875000e+03,1.179815053939819336e+00,1.142280000000000184e+00,9.042011499404907227e-01,5.246373414993286133e-01
7.921530752768811467e+00,1.852333132666835169e+01,1.316424804687500000e+03,1.234105348587036133e+00,1.142290000000000028e+00,1.041530728340148926e+00,6.303811073303222656e-01
7.923230266987739689e+00,1.854337808011573685e+01,1.380593627929687500e+03,1.397624731063842773e+00,1.142300000000000093e+00,8.047897815704345703e-01,4.943484961986541748e-01
7.927527849809289151e+00,1.856397427150809420e+01,1.419886352539062500e+03,1.660860300064086914e+00,1.142310000000000159e+00,8.079178333282470703e-01,5.004520416259765625e-01
7.925303852839119756e+00,1.858664114631475428e+01,1.627302246093750000e+03,1.081124067306518555e+00,1.142320000000000002e+00,1.098522543907165527e+00,7.065227627754211426e-01
7.916929022221093959e+00,1.859907011717876202e+01,1.116848144531250000e+03,1.367254972457885742e+00,1.142330000000000068e+00,7.625990509986877441e-01,4.360597133636474609e-01
7.916303812380041549e+00,1.861326128831065319e+01,1.112565185546875000e+03,1.527816772460937500e+00,1.142340000000000133e+00,6.967571377754211426e-01,3.978362977504730225e-01
7.925671510991620039e+00,1.864108558957400064e+01,1.274160278320312500e+03,9.765869975090026855e-01,1.142350000000000199e+00,6.895091533660888672e-01,4.129425585269927979e-01
7.917361550123860781e+00,1.866178360669430703e+01,9.218737182617187500e+02,9.847647547721862793e-01,1.142360000000000042e+00,7.440595626831054688e-01,3.930297493934631348e-01
7.920889825548853125e+00,1.867974329636827235e+01,1.630311157226562500e+03,8.167678713798522949e-01,1.142370000000000108e+00,9.135090112686157227e-01,5.878089666366577148e-01
7.918630405917336468e+00,1.869461133486970184e+01,1.410589355468750000e+03,1.089895486831665039e+00,1.142380000000000173e+00,9.306752681732177734e-01,5.753729939460754395e-01
7.915774789091591934e+00,1.872432038090265038e+01,1.060038452148437500e+03,1.270337820053100586e+00,1.142390000000000017e+00,1.000789642333984375e+00,5.608770847320556641e-01
7.914715293150614173e+00,1.874173511306464235e+01,1.511460205078125000e+03,1.460901021957397461e+00,1.142400000000000082e+00,7.400159239768981934e-01,4.666537046432495117e-01
