# x_coordinates, y_coordinates, TEP, TED, times, high, low
3.848149237456924254e+01,1.811841540702362252e+01,1.737037109375000000e+03,1.100057438015937805e-01,5.612910000000000288e+00,6.930949687957763672e-01,4.530733227729797363e-01
3.847113540436706813e+01,1.810765979030404083e+01,1.293505249023437500e+03,3.847283422946929932e-01,5.612920000000000798e+00,7.448225021362304688e-01,4.482667744159698486e-01
3.846901740430782723e+01,1.810308013478923428e+01,1.328001098632812500e+03,9.669143557548522949e-01,5.612930000000000419e+00,8.196671009063720703e-01,4.974765777587890625e-01
3.846374178048135661e+01,1.809295487365636745e+01,1.185001586914062500e+03,9.127218127250671387e-01,5.612940000000000040e+00,7.711439728736877441e-01,4.505556225776672363e-01
3.847471861543551341e+01,1.808933644400482876e+01,1.386308715820312500e+03,1.151227474212646484e+00,5.612950000000000550e+00,7.616072297096252441e-01,4.684084653854370117e-01
3.846074892504309162e+01,1.808450154928041798e+01,1.623630004882812500e+03,8.628124594688415527e-01,5.612960000000000171e+00,6.990459561347961426e-01,4.493349194526672363e-01
3.846327358843010558e+01,1.808445004064950012e+01,1.843073608398437500e+03,1.076066017150878906e+00,5.612970000000000681e+00,8.238633275032043457e-01,5.460759997367858887e-01
3.845947543643269739e+01,1.808344461219475363e+01,1.880763183593750000e+03,9.348065257072448730e-01,5.612980000000000302e+00,8.849750161170959473e-01,5.892585515975952148e-01
3.846710144004977394e+01,1.808968255653174495e+01,1.544726318359375000e+03,1.236624240875244141e+00,5.612990000000000812e+00,9.508932232856750488e-01,6.032204031944274902e-01
3.844982272055894157e+01,1.808998621239562965e+01,1.776582397460937500e+03,1.482947587966918945e+00,5.613000000000000433e+00,9.724081754684448242e-01,6.390786767005920410e-01
3.846480230032241820e+01,1.809158778152350067e+01,1.345483642578125000e+03,1.440468549728393555e+00,5.613010000000000055e+00,1.079220175743103027e+00,6.576944589614868164e-01
3.845459321990048096e+01,1.809764461151727488e+01,2.106409423828125000e+03,1.429016113281250000e+00,5.613020000000000564e+00,1.183209180831909180e+00,8.068497180938720703e-01
3.845746671179145437e+01,1.810536457418244893e+01,1.502165527343750000e+03,1.755162000656127930e+00,5.613030000000000186e+00,7.712202668190002441e-01,4.854983687400817871e-01
