# x_coordinates, y_coordinates, TEP, TED, times, high, low
-1.704073094847582936e+01,-9.940137411297492065e+00,6.695141601562500000e+03,1.021128967404365540e-01,2.630380000000000162e+00,2.387628108263015747e-01,1.865775585174560547e-01
-1.704120241691518700e+01,-9.946725382490239298e+00,1.750780029296875000e+03,1.195031479001045227e-01,2.630390000000000228e+00,3.197109997272491455e-01,2.093895375728607178e-01
-1.703325898192218446e+01,-9.955718724142434084e+00,1.330537353515625000e+03,2.952403128147125244e-01,2.630400000000000293e+00,4.353730678558349609e-01,2.643976807594299316e-01
-1.703630318117810916e+01,-9.964711409244763729e+00,1.410368286132812500e+03,3.256672918796539307e-01,2.630410000000000359e+00,4.258362948894500732e-01,2.632532715797424316e-01
-1.702809487393000509e+01,-9.968891010027508770e+00,2.058146484375000000e+03,4.741424620151519775e-01,2.630420000000000424e+00,4.305665194988250732e-01,2.922450602054595947e-01
-1.703014914639360455e+01,-9.974677737842313263e+00,1.778945312500000000e+03,5.053598284721374512e-01,2.630430000000000046e+00,4.275910556316375732e-01,2.811061143875122070e-01
-1.702673196645402598e+01,-9.980127933278151176e+00,8.695930664062500000e+03,5.298740267753601074e-01,2.630440000000000111e+00,5.194492936134338379e-01,4.117981493473052979e-01
-1.703085759538046418e+01,-9.981300728501672381e+00,1.420803955078125000e+03,5.026013255119323730e-01,2.630450000000000177e+00,4.822940230369567871e-01,2.988063693046569824e-01
-1.702646745526393701e+01,-9.972218450788679078e+00,1.807043579101562500e+03,6.717211604118347168e-01,2.630460000000000242e+00,4.220978617668151855e-01,2.785121202468872070e-01
-1.702244384512477637e+01,-9.978140544058275552e+00,2.810700683593750000e+03,4.796284735202789307e-01,2.630470000000000308e+00,5.599615573883056641e-01,4.013458192348480225e-01
-1.701997524778945348e+01,-9.973429357817785501e+00,1.716766845703125000e+03,5.234534144401550293e-01,2.630480000000000373e+00,6.028389334678649902e-01,3.929534554481506348e-01
-1.702257824272131259e+01,-9.972039863880370447e+00,5.378811523437500000e+03,7.577688097953796387e-01,2.630489999999999995e+00,7.237652540206909180e-01,5.569860935211181641e-01
-1.701647344427724917e+01,-9.960489883361516306e+00,1.832217041015625000e+03,1.003566503524780273e+00,2.630500000000000060e+00,5.398198962211608887e-01,3.573240637779235840e-01
-1.702133996734018595e+01,-9.955252605906451890e+00,2.437415771484375000e+03,1.129058122634887695e+00,2.630510000000000126e+00,5.659124851226806641e-01,3.964630067348480225e-01
-1.701856082409879534e+01,-9.951284794781102505e+00,3.060502197265625000e+03,7.865971922874450684e-01,2.630520000000000191e+00,4.964084625244140625e-01,3.601469397544860840e-01
-1.702397570416238537e+01,-9.941828746922377391e+00,1.461250610351562500e+03,9.078103899955749512e-01,2.630530000000000257e+00,5.229588150978088379e-01,3.266537785530090332e-01
-1.701877243133909801e+01,-9.934303495578742371e+00,2.853813720703125000e+03,6.961590647697448730e-01,2.630540000000000322e+00,5.252476930618286133e-01,3.773131370544433594e-01
-1.701964741841277018e+01,-9.925732867294799533e+00,2.790461425781250000e+03,6.689042448997497559e-01,2.630550000000000388e+00,5.259343385696411133e-01,3.765501976013183594e-01
-1.701748959852832499e+01,-9.921715567201804475e+00,1.583187988281250000e+03,7.002872824668884277e-01,2.630560000000000009e+00,6.212258338928222656e-01,3.966918885707855225e-01
