# x_coordinates, y_coordinates, TEP, TED, times, high, low
3.096721106304556415e+01,1.992045648956902726e+00,2.090020996093750000e+03,2.940476126968860626e-02,4.576830000000000176e+00,7.286481261253356934e-01,4.961032867431640625e-01
3.097430054839117020e+01,1.983467302432390778e+00,2.294733642578125000e+03,3.684407770633697510e-01,4.576840000000000686e+00,5.347844362258911133e-01,3.706755340099334717e-01
3.096557063384322817e+01,1.981668868503263514e+00,1.686407470703125000e+03,1.089490175247192383e+00,4.576850000000000307e+00,5.831549763679504395e-01,3.784575462341308594e-01
3.096782380468279428e+01,1.974189331263363822e+00,2.260524658203125000e+03,7.226592898368835449e-01,4.576860000000000817e+00,6.364846825599670410e-01,4.399507045745849609e-01
3.096983511948945988e+01,1.968467648301185369e+00,1.421638061523437500e+03,7.398421168327331543e-01,4.576870000000000438e+00,5.937598943710327148e-01,3.679289519786834717e-01
3.097203928759796554e+01,1.972999885358180938e+00,2.208796142578125000e+03,8.473474383354187012e-01,4.576880000000000059e+00,6.516672372817993164e-01,4.484956562519073486e-01
3.096661615919156674e+01,1.967440273482350621e+00,1.611507080078125000e+03,8.311790823936462402e-01,4.576890000000000569e+00,6.421304345130920410e-01,4.119507372379302979e-01
3.097949938543012038e+01,1.979473576275303515e+00,1.427662963867187500e+03,1.068762063980102539e+00,4.576900000000000190e+00,7.043102383613586426e-01,4.369752407073974609e-01
3.097422973417166858e+01,1.982381344571385595e+00,2.563185791015625000e+03,8.621043562889099121e-01,4.576910000000000700e+00,8.864246010780334473e-01,6.262612342834472656e-01
3.096730545145418034e+01,1.984895249766245762e+00,1.544441284179687500e+03,1.170343875885009766e+00,4.576920000000000321e+00,7.131603956222534180e-01,4.523866772651672363e-01
3.097249959675169961e+01,1.993063114783008682e+00,1.699166625976562500e+03,1.226392507553100586e+00,4.576929999999999943e+00,7.973892092704772949e-01,5.184574723243713379e-01
3.097542306694034764e+01,1.999347902355626871e+00,2.123908691406250000e+03,1.061146974563598633e+00,4.576940000000000452e+00,6.859996318817138672e-01,4.685610532760620117e-01
3.096975206198534281e+01,2.013315479826164101e+00,1.510401367187500000e+03,1.087600708007812500e+00,4.576950000000000074e+00,7.635145783424377441e-01,4.813784956932067871e-01
3.096702529488777245e+01,2.026263756216710288e+00,1.542821655273437500e+03,1.084397554397583008e+00,4.576960000000000583e+00,7.397107481956481934e-01,4.690951108932495117e-01
3.097699787712823039e+01,2.033388347928035245e+00,1.659659057617187500e+03,1.062922000885009766e+00,4.576970000000000205e+00,8.673510551452636719e-01,5.606482028961181641e-01
3.096817940917027556e+01,2.052335019321439358e+00,1.326529785156250000e+03,1.257910251617431641e+00,4.576980000000000715e+00,8.842120766639709473e-01,5.364629030227661133e-01
3.097437092318503460e+01,2.069378064081258906e+00,1.105188354492187500e+03,1.315364360809326172e+00,4.576990000000000336e+00,7.747298479080200195e-01,4.412477016448974609e-01
3.097939285546975086e+01,2.081863453282501997e+00,1.866084472656250000e+03,1.359650611877441406e+00,4.576999999999999957e+00,4.550569653511047363e-01,3.024685084819793701e-01
