# x_coordinates, y_coordinates, TEP, TED, times, high, low
2.560157725198376610e+01,3.094594085180912657e+01,1.699978637695312500e+03,1.110655143857002258e-01,6.152870000000000061e+00,4.164520800113677979e-01,2.708064019680023193e-01
2.562122529026175144e+01,3.095320318760613176e+01,1.004476806640625000e+03,5.673152804374694824e-01,6.152880000000000571e+00,5.837653279304504395e-01,3.200924694538116455e-01
2.562871680595920054e+01,3.095834330791657862e+01,1.129037963867187500e+03,6.176955103874206543e-01,6.152890000000000192e+00,6.363320946693420410e-01,3.653349578380584717e-01
2.564488982794509297e+01,3.095795040934615017e+01,9.343486328125000000e+02,7.134169936180114746e-01,6.152900000000000702e+00,5.187626481056213379e-01,2.756892144680023193e-01
2.566146941039589890e+01,3.096114262464688949e+01,1.568499877929687500e+03,7.104725241661071777e-01,6.152910000000000323e+00,5.144901871681213379e-01,3.277218937873840332e-01
2.566874914850594180e+01,3.098191706249907185e+01,1.393860351562500000e+03,6.894761919975280762e-01,6.152920000000000833e+00,5.291386842727661133e-01,3.259671330451965332e-01
2.566635309783050900e+01,3.098167053021289163e+01,1.148670043945312500e+03,8.371514678001403809e-01,6.152930000000000454e+00,6.275582313537597656e-01,3.625883460044860840e-01
2.567974778336052566e+01,3.099187298431882809e+01,1.143911743164062500e+03,8.213753104209899902e-01,6.152940000000000076e+00,7.358960509300231934e-01,4.245392680168151855e-01
2.568298026799103795e+01,3.100483278699464051e+01,1.053519653320312500e+03,8.164412379264831543e-01,6.152950000000000585e+00,7.339887022972106934e-01,4.103485643863677979e-01
2.568314967980589358e+01,3.101036301197617462e+01,1.706236816406250000e+03,1.011242389678955078e+00,6.152960000000000207e+00,6.780650019645690918e-01,4.413239955902099609e-01
2.568220765303152575e+01,3.102294495571048216e+01,1.367554687500000000e+03,1.126642942428588867e+00,6.152970000000000717e+00,8.286698460578918457e-01,5.075473785400390625e-01
2.568879187212267823e+01,3.103632348113907469e+01,1.676143798828125000e+03,9.553176760673522949e-01,6.152980000000000338e+00,8.179886341094970703e-01,5.300542116165161133e-01
2.568832172793562307e+01,3.104797584862427584e+01,1.736738159179687500e+03,1.169570207595825195e+00,6.152990000000000848e+00,8.188278675079345703e-01,5.352421998977661133e-01
2.569106408588907797e+01,3.106554338833976914e+01,1.329202270507812500e+03,1.457683563232421875e+00,6.153000000000000469e+00,8.211930394172668457e-01,4.985446929931640625e-01
2.569109058422073844e+01,3.108010498302741098e+01,1.520487304687500000e+03,1.247796535491943359e+00,6.153010000000000090e+00,8.585008978843688965e-01,5.422613024711608887e-01
2.568893569638076357e+01,3.108717963914001103e+01,1.482250732421875000e+03,1.322168827056884766e+00,6.153020000000000600e+00,7.767897844314575195e-01,4.871768355369567871e-01
2.568760049950524049e+01,3.110973157544074397e+01,1.225127441406250000e+03,1.500267505645751953e+00,6.153030000000000221e+00,7.039287686347961426e-01,4.160706102848052979e-01
2.568814066681056829e+01,3.112553383222026682e+01,1.312385498046875000e+03,1.261771440505981445e+00,6.153040000000000731e+00,5.804846882820129395e-01,3.509916365146636963e-01
2.569470002630148642e+01,3.113606147997683493e+01,1.147347412109375000e+03,9.361547827720642090e-01,6.153050000000000352e+00,7.953292727470397949e-01,4.593294560909271240e-01
2.568630138212309078e+01,3.115245782772734273e+01,1.542279418945312500e+03,9.046263098716735840e-01,6.153060000000000862e+00,8.179886341094970703e-01,5.186863541603088379e-01
2.569065343714073890e+01,3.117820350798791651e+01,1.439827392578125000e+03,1.242323637008666992e+00,6.153070000000000483e+00,7.535963058471679688e-01,4.687136411666870117e-01
2.569215746776189846e+01,3.118741393194837741e+01,1.620546264648437500e+03,1.275513887405395508e+00,6.153080000000000105e+00,7.487897872924804688e-01,4.810733199119567871e-01
2.568720727244783575e+01,3.119688602788227527e+01,1.600894042968750000e+03,1.230393171310424805e+00,6.153090000000000614e+00,7.004192471504211426e-01,4.485719501972198486e-01
2.568391436653960369e+01,3.121007286904427858e+01,1.318815429687500000e+03,1.233821630477905273e+00,6.153100000000000236e+00,9.683645963668823242e-01,5.864356756210327148e-01
2.568971412430503420e+01,3.123062745202733836e+01,1.335093383789062500e+03,1.279698133468627930e+00,6.153110000000000746e+00,8.741412162780761719e-01,5.314275026321411133e-01
