# x_coordinates, y_coordinates, TEP, TED, times, high, low
-3.410503349194569012e+01,3.095982312543677395e+01,1.517420288085937500e+03,6.845057755708694458e-02,6.188360000000000305e+00,3.906646370887756348e-01,2.466211169958114624e-01
-3.411607679655804048e+01,3.096069793672820936e+01,1.741299438476562500e+03,1.553744226694107056e-01,6.188370000000000815e+00,4.920596778392791748e-01,3.218472301959991455e-01
-3.413156310403741145e+01,3.096284338126930535e+01,1.530825195312500000e+03,3.878683149814605713e-01,6.188380000000000436e+00,5.157108902931213379e-01,3.263486027717590332e-01
-3.414600379755277260e+01,3.097143798587795516e+01,1.514126220703125000e+03,5.261439681053161621e-01,6.188390000000000946e+00,5.529424548149108887e-01,3.488554060459136963e-01
-3.415943250058620606e+01,3.097909886005977143e+01,1.723633789062500000e+03,6.337434649467468262e-01,6.188400000000000567e+00,7.014110684394836426e-01,4.576509892940521240e-01
-3.416143608043032742e+01,3.098465949866431401e+01,2.920433105468750000e+03,7.017058730125427246e-01,6.188410000000000188e+00,6.598306894302368164e-01,4.755801260471343994e-01
-3.416759020470352937e+01,3.099619821595562996e+01,1.360503295898437500e+03,1.078856706619262695e+00,6.188420000000000698e+00,6.480813622474670410e-01,3.963104188442230225e-01
-3.417939513904160265e+01,3.100839790594633172e+01,1.216399902343750000e+03,9.872943758964538574e-01,6.188430000000000319e+00,6.425119042396545410e-01,3.788390159606933594e-01
-3.417863310521110520e+01,3.102168258771594367e+01,2.847096191406250000e+03,9.068030714988708496e-01,6.188440000000000829e+00,6.479287743568420410e-01,4.652804136276245117e-01
-3.418523542732177134e+01,3.102785799263418198e+01,3.207064941406250000e+03,8.778554797172546387e-01,6.188450000000000450e+00,8.812365531921386719e-01,6.433511376380920410e-01
-3.418833754678662018e+01,3.103521678503641823e+01,6.837091308593750000e+03,1.230012893676757812e+00,6.188460000000000072e+00,9.507406353950500488e-01,7.439069747924804688e-01
-3.419013022333125917e+01,3.105404481892692203e+01,2.755271972656250000e+03,1.829324483871459961e+00,6.188470000000000582e+00,8.142502307891845703e-01,5.818579792976379395e-01
-3.419686807325702205e+01,3.106730779484132299e+01,2.824432373046875000e+03,1.886584281921386719e+00,6.188480000000000203e+00,6.748606562614440918e-01,4.840487837791442871e-01
-3.418831659703574388e+01,3.107290015593818566e+01,1.826923583984375000e+03,1.473553895950317383e+00,6.188490000000000713e+00,6.317543983459472656e-01,4.179016649723052979e-01
-3.418883369295877372e+01,3.109051310823400271e+01,1.776458740234375000e+03,1.075652360916137695e+00,6.188500000000000334e+00,5.199070572853088379e-01,3.416837453842163086e-01
-3.419533465832264341e+01,3.110331492575728873e+01,2.183245849609375000e+03,9.522766470909118652e-01,6.188510000000000844e+00,4.816836714744567871e-01,3.307736515998840332e-01
-3.418240703773468425e+01,3.112024752607464961e+01,1.438952758789062500e+03,6.636435389518737793e-01,6.188520000000000465e+00,4.600161015987396240e-01,2.860652506351470947e-01
-3.418993529427679334e+01,3.113572630043142198e+01,2.093630615234375000e+03,5.905861258506774902e-01,6.188530000000000086e+00,4.593294560909271240e-01,3.128445148468017578e-01
-3.418409231678293025e+01,3.114453970787640458e+01,1.303525512695312500e+03,4.842704832553863525e-01,6.188540000000000596e+00,4.564302563667297363e-01,2.753840386867523193e-01
-3.418856231058003914e+01,3.116876327548387593e+01,1.544717407226562500e+03,4.670864641666412354e-01,6.188550000000000217e+00,5.744574666023254395e-01,3.644194304943084717e-01
-3.418677365424420600e+01,3.118266990545271256e+01,2.085016357421875000e+03,4.939061701297760010e-01,6.188560000000000727e+00,6.137489676475524902e-01,4.176727831363677979e-01
-3.418901904976805639e+01,3.119371064860984077e+01,1.118692382812500000e+03,6.796163916587829590e-01,6.188570000000000348e+00,6.177163124084472656e-01,3.534330427646636963e-01
-3.418460935741062201e+01,3.121622483137594628e+01,1.598047485351562500e+03,8.074397444725036621e-01,6.188580000000000858e+00,6.657053828239440918e-01,4.261414706707000732e-01
-3.418143625286539589e+01,3.122544011508078299e+01,1.325910034179687500e+03,8.156711459159851074e-01,6.188590000000000479e+00,5.114384293556213379e-01,3.102505207061767578e-01
-3.417929625970166541e+01,3.124599774208771308e+01,2.285804199218750000e+03,8.409101366996765137e-01,6.188600000000000101e+00,5.704138875007629395e-01,3.950897157192230225e-01
-3.418216608744030083e+01,3.125685339507001004e+01,2.256080322265625000e+03,6.114191412925720215e-01,6.188610000000000610e+00,6.305336952209472656e-01,4.356782436370849609e-01
-3.418270383307837790e+01,3.126887861286784442e+01,3.478323486328125000e+03,7.940692305564880371e-01,6.188620000000000232e+00,6.964519619941711426e-01,5.136509537696838379e-01
-3.418430122246869018e+01,3.128542786634690387e+01,1.355954589843750000e+03,9.949082732200622559e-01,6.188630000000000742e+00,5.468389391899108887e-01,3.340543210506439209e-01
-3.418031730233499843e+01,3.129819139690406971e+01,1.567753540039062500e+03,8.726209998130798340e-01,6.188640000000000363e+00,5.788825154304504395e-01,3.686918914318084717e-01
-3.418123068906058393e+01,3.130931361171938931e+01,1.394541503906250000e+03,6.017214655876159668e-01,6.188650000000000873e+00,6.312203407287597656e-01,3.889098763465881348e-01
-3.418391185386975195e+01,3.132208015224450293e+01,1.148714233398437500e+03,7.950956225395202637e-01,6.188660000000000494e+00,6.319069862365722656e-01,3.651060760021209717e-01
-3.418771324343172324e+01,3.134863734987349915e+01,2.466850830078125000e+03,8.525568842887878418e-01,6.188670000000000115e+00,5.673620700836181641e-01,3.982940614223480225e-01
-3.418304493178811043e+01,3.135550022245398694e+01,2.035753662109375000e+03,8.368677496910095215e-01,6.188680000000000625e+00,5.285283327102661133e-01,3.579344153404235840e-01
-3.418065080594608673e+01,3.136955167873998462e+01,2.116967773437500000e+03,7.451719641685485840e-01,6.188690000000000246e+00,7.545118331909179688e-01,5.150242447853088379e-01
-3.418517374312578738e+01,3.138640105459190721e+01,1.255155761718750000e+03,8.767730593681335449e-01,6.188700000000000756e+00,5.649206638336181641e-01,3.366483151912689209e-01
-3.418180128358139314e+01,3.140051058346794832e+01,1.501500244140625000e+03,9.647006392478942871e-01,6.188710000000000377e+00,5.571386814117431641e-01,3.506864607334136963e-01
-3.418531296081929582e+01,3.141574411199067285e+01,1.486422607421875000e+03,6.625623106956481934e-01,6.188720000000000887e+00,6.139015555381774902e-01,3.853240311145782471e-01
-3.418289456785397817e+01,3.142561580582765401e+01,2.086909912109375000e+03,7.661325335502624512e-01,6.188730000000000508e+00,6.374002099037170410e-01,4.338471889495849609e-01
-3.419042834142127418e+01,3.144979982433942212e+01,1.736898071289062500e+03,7.965893149375915527e-01,6.188740000000000130e+00,6.395364403724670410e-01,4.180542826652526855e-01
-3.418402159110968341e+01,3.146458629227713999e+01,1.653734863281250000e+03,1.014911651611328125e+00,6.188750000000000639e+00,6.455636620521545410e-01,4.169098436832427979e-01
-3.419104549980983876e+01,3.147205303997417758e+01,1.969929809570312500e+03,9.139711260795593262e-01,6.188760000000000261e+00,7.405499815940856934e-01,4.980869293212890625e-01
-3.418688063288212220e+01,3.148516585596205175e+01,1.805093750000000000e+03,9.352559447288513184e-01,6.188770000000000771e+00,7.680159211158752441e-01,5.066318511962890625e-01
-3.418454361662306695e+01,3.150253616948267776e+01,4.191104980468750000e+03,1.218344688415527344e+00,6.188780000000000392e+00,7.792311906814575195e-01,5.865882635116577148e-01
-3.418665458429191517e+01,3.152207525649304998e+01,1.364294555664062500e+03,1.381040334701538086e+00,6.188790000000000902e+00,6.389260888099670410e-01,3.910461068153381348e-01
-3.418960968030425818e+01,3.153029734286759123e+01,1.580167602539062500e+03,1.273712635040283203e+00,6.188800000000000523e+00,6.651713252067565918e-01,4.245392680168151855e-01
-3.418901078957528483e+01,3.155299379921031999e+01,1.641313476562500000e+03,8.284265398979187012e-01,6.188810000000000144e+00,8.281357884407043457e-01,5.337926149368286133e-01
-3.418739590279485441e+01,3.156810999912974225e+01,2.254241210937500000e+03,1.072941541671752930e+00,6.188820000000000654e+00,5.849097371101379395e-01,4.040924310684204102e-01
-3.419353537472662907e+01,3.158488950638757942e+01,3.151218750000000000e+03,1.050806760787963867e+00,6.188830000000000275e+00,5.920814275741577148e-01,4.312531650066375732e-01
-3.418635158144778785e+01,3.159994808267228450e+01,2.027807617187500000e+03,8.673447966575622559e-01,6.188840000000000785e+00,5.547735691070556641e-01,3.754057884216308594e-01
-3.418466992289290118e+01,3.160879853232123793e+01,2.183260498046875000e+03,9.118301272392272949e-01,6.188850000000000406e+00,6.618906259536743164e-01,4.545229077339172363e-01
-3.419140493194912978e+01,3.162705396764179255e+01,2.155940673828125000e+03,8.643013834953308105e-01,6.188860000000000916e+00,5.779669880867004395e-01,3.959289491176605225e-01
-3.418748834840450712e+01,3.164772767287513489e+01,1.586840698242187500e+03,9.895581603050231934e-01,6.188870000000000537e+00,6.216835975646972656e-01,3.972259461879730225e-01
-3.418653346094225753e+01,3.165614596228059696e+01,1.770148071289062500e+03,9.178513884544372559e-01,6.188880000000000159e+00,6.055092215538024902e-01,3.976074159145355225e-01
-3.418712633224302522e+01,3.166929494748706730e+01,3.715166748046875000e+03,8.133298754692077637e-01,6.188890000000000668e+00,7.397870421409606934e-01,5.498144030570983887e-01
-3.418935678368078612e+01,3.169240438016846539e+01,2.871298339843750000e+03,9.278864264488220215e-01,6.188900000000000290e+00,7.059124112129211426e-01,5.075473785400390625e-01
-3.418564912325781791e+01,3.170425572574124118e+01,2.333518066406250000e+03,1.260352849960327148e+00,6.188910000000000800e+00,6.013129949569702148e-01,4.180542826652526855e-01
-3.418607861374284340e+01,3.171640575628549286e+01,2.058149414062500000e+03,1.054825305938720703e+00,6.188920000000000421e+00,5.863593816757202148e-01,3.979888856410980225e-01
-3.419272770560922936e+01,3.172875456215334111e+01,1.879728759765625000e+03,8.424002528190612793e-01,6.188930000000000931e+00,6.918742656707763672e-01,4.606264531612396240e-01
-3.418486960011370712e+01,3.174603543233900282e+01,2.288407470703125000e+03,8.990020155906677246e-01,6.188940000000000552e+00,5.701849460601806641e-01,3.950134217739105225e-01
-3.418344797052497341e+01,3.176037860403415891e+01,1.341668945312500000e+03,1.109053611755371094e+00,6.188950000000000173e+00,5.929969549179077148e-01,3.610624670982360840e-01
-3.418524301835732615e+01,3.177007074117383567e+01,1.163141967773437500e+03,8.122677206993103027e-01,6.188960000000000683e+00,5.933021306991577148e-01,3.443540334701538086e-01
-3.418677817093649907e+01,3.179012594029553185e+01,1.476043823242187500e+03,6.813616156578063965e-01,6.188970000000000304e+00,6.872203350067138672e-01,4.304902255535125732e-01
-3.418615439580501203e+01,3.180108476928332806e+01,1.789081909179687500e+03,7.793099284172058105e-01,6.188980000000000814e+00,5.939124822616577148e-01,3.909698128700256348e-01
-3.418545825468335408e+01,3.181814963148824660e+01,2.593646484375000000e+03,8.481234908103942871e-01,6.188990000000000435e+00,7.072094082832336426e-01,5.006046295166015625e-01
-3.418311523326207180e+01,3.182977841982836154e+01,1.299139038085937500e+03,8.286148905754089355e-01,6.189000000000000945e+00,6.922557353973388672e-01,4.172150194644927979e-01
-3.418512753398004378e+01,3.184465610233650779e+01,1.187883911132812500e+03,1.020090103149414062e+00,6.189010000000000566e+00,5.420324206352233887e-01,3.169644176959991455e-01
-3.418216092096161418e+01,3.186644434456769659e+01,1.527352050781250000e+03,8.601636290550231934e-01,6.189020000000000188e+00,5.803321003913879395e-01,3.670134246349334717e-01
-3.418415946284350326e+01,3.187923150464439104e+01,1.653674926757812500e+03,6.644398570060729980e-01,6.189030000000000697e+00,5.746863484382629395e-01,3.711333274841308594e-01
-3.418084205613722304e+01,3.189244800180829031e+01,1.303789794921875000e+03,8.326131701469421387e-01,6.189040000000000319e+00,5.684301853179931641e-01,3.429807424545288086e-01
-3.417691222982703891e+01,3.190303805245437374e+01,1.714634521484375000e+03,7.592803835868835449e-01,6.189050000000000828e+00,6.219887733459472656e-01,4.053131341934204102e-01
-3.418105500354942450e+01,3.192150636239562189e+01,1.710174682617187500e+03,7.770044207572937012e-01,6.189060000000000450e+00,6.332803368568420410e-01,4.124085009098052979e-01
-3.417900435761270472e+01,3.193110479954449943e+01,1.339835693359375000e+03,9.408611655235290527e-01,6.189070000000000071e+00,5.311986207962036133e-01,3.232968151569366455e-01
-3.418022088184498131e+01,3.195067489249130332e+01,2.100919921875000000e+03,7.745451331138610840e-01,6.189080000000000581e+00,5.352421998977661133e-01,3.648009002208709717e-01
-3.417608870379698516e+01,3.196365821909990146e+01,1.372485107421875000e+03,6.518978476524353027e-01,6.189090000000000202e+00,5.786536335945129395e-01,3.548063337802886963e-01
