# x_coordinates, y_coordinates, TEP, TED, times, high, low
-2.690216066484003932e+01,-3.889038518987698012e+01,1.824037231445312500e+03,8.088947273790836334e-03,1.274380000000000068e+00,7.963973879814147949e-01,5.266209840774536133e-01
-2.692253051552533094e+01,-3.888533312305828105e+01,1.227648925781250000e+03,7.174534201622009277e-01,1.274390000000000134e+00,7.024028897285461426e-01,4.154602587223052979e-01
-2.693703955225693036e+01,-3.887646519017853564e+01,1.328708618164062500e+03,8.584160208702087402e-01,1.274400000000000199e+00,7.643538117408752441e-01,4.639833867549896240e-01
-2.695310965150859417e+01,-3.886784811887085311e+01,1.678902587890625000e+03,5.954009890556335449e-01,1.274410000000000043e+00,8.049423694610595703e-01,5.218144059181213379e-01
-2.695849759134598145e+01,-3.886092458330033850e+01,2.235492919921875000e+03,7.722646594047546387e-01,1.274420000000000108e+00,9.827842116355895996e-01,6.779124140739440918e-01
-2.696819637688575355e+01,-3.885213979011751206e+01,2.224616455078125000e+03,8.702868819236755371e-01,1.274430000000000174e+00,9.888877272605895996e-01,6.814982891082763672e-01
-2.697402808542198471e+01,-3.883952778179439491e+01,1.655724121093750000e+03,1.299693107604980469e+00,1.274440000000000017e+00,1.029552578926086426e+00,6.650950312614440918e-01
-2.698324155097324706e+01,-3.882496315083161420e+01,2.380551757812500000e+03,1.260611534118652344e+00,1.274450000000000083e+00,1.031993985176086426e+00,7.200268507003784180e-01
-2.699241440411464055e+01,-3.881399942412494397e+01,1.922914672851562500e+03,1.406794309616088867e+00,1.274460000000000148e+00,1.017040371894836426e+00,6.805064678192138672e-01
-2.699145320404852200e+01,-3.880489967950603614e+01,1.682177124023437500e+03,1.462994337081909180e+00,1.274470000000000214e+00,9.454763531684875488e-01,6.132149100303649902e-01
-2.699418927856013184e+01,-3.878164393543639221e+01,2.012941284179687500e+03,1.400578737258911133e+00,1.274480000000000057e+00,1.040157437324523926e+00,7.027843594551086426e-01
-2.699639548454262084e+01,-3.875793869576674666e+01,1.488141235351562500e+03,1.411779642105102539e+00,1.274490000000000123e+00,8.760485649108886719e-01,5.500432848930358887e-01
-2.700189396744098147e+01,-3.874786354080774231e+01,1.618152465820312500e+03,1.181132316589355469e+00,1.274500000000000188e+00,9.399831295013427734e-01,6.036781668663024902e-01
-2.700188833759103346e+01,-3.872926160884282609e+01,1.342253295898437500e+03,9.027249217033386230e-01,1.274510000000000032e+00,8.089096546173095703e-01,4.925937354564666748e-01
-2.700313381051099881e+01,-3.870608658115401113e+01,1.624942016601562500e+03,9.067541956901550293e-01,1.274520000000000097e+00,9.556997418403625488e-01,6.144356131553649902e-01
-2.700071035351272286e+01,-3.867681131346182610e+01,1.640334716796875000e+03,8.872086405754089355e-01,1.274530000000000163e+00,9.425008296966552734e-01,6.074165701866149902e-01
-2.700027334059238271e+01,-3.866444490536758849e+01,1.350375488281250000e+03,1.164044857025146484e+00,1.274540000000000006e+00,7.762557268142700195e-01,4.735964834690093994e-01
-2.699188263164485235e+01,-3.864921375231936906e+01,1.985438354492187500e+03,9.317130446434020996e-01,1.274550000000000072e+00,8.939014077186584473e-01,6.022285819053649902e-01
-2.700233762288187123e+01,-3.862206873884221636e+01,1.303797973632812500e+03,8.169431090354919434e-01,1.274560000000000137e+00,8.839069008827209473e-01,5.333348512649536133e-01
-2.699812832444840183e+01,-3.859804651325504210e+01,1.671888671875000000e+03,9.889943003654479980e-01,1.274570000000000203e+00,8.269913792610168457e-01,5.355473756790161133e-01
-2.699474020089806814e+01,-3.858081741036315293e+01,1.580334716796875000e+03,8.730763792991638184e-01,1.274580000000000046e+00,9.225117564201354980e-01,5.888007879257202148e-01
-2.699952537847542189e+01,-3.856162976051675884e+01,1.893645141601562500e+03,9.428245425224304199e-01,1.274590000000000112e+00,7.360486388206481934e-01,4.908389747142791748e-01
-2.699893440245559617e+01,-3.853485899141305993e+01,1.348554321289062500e+03,9.938794970512390137e-01,1.274600000000000177e+00,7.468061447143554688e-01,4.554384350776672363e-01
-2.699745804807667682e+01,-3.850811881798193781e+01,2.274877685546875000e+03,6.618422865867614746e-01,1.274610000000000021e+00,8.388170003890991211e-01,5.804846882820129395e-01
-2.700244228270081948e+01,-3.849683315231555270e+01,2.277331054687500000e+03,7.938057780265808105e-01,1.274620000000000086e+00,1.069683313369750977e+00,7.403973937034606934e-01
-2.700005280731781454e+01,-3.847496721440073486e+01,2.135240478515625000e+03,1.176906347274780273e+00,1.274630000000000152e+00,1.078609824180603027e+00,7.374982237815856934e-01
-2.699996424251909488e+01,-3.844702103059520937e+01,1.460636108398437500e+03,1.406758546829223633e+00,1.274639999999999995e+00,8.601793646812438965e-01,5.372258424758911133e-01
-2.700233784299942030e+01,-3.843022589706250614e+01,1.207842773437500000e+03,1.286074638366699219e+00,1.274650000000000061e+00,6.793619990348815918e-01,3.995910584926605225e-01
-2.700272884540678220e+01,-3.841028079179860555e+01,1.063725585937500000e+03,8.328444361686706543e-01,1.274660000000000126e+00,7.881575822830200195e-01,4.423158466815948486e-01
-2.699901572527325300e+01,-3.839214029339451173e+01,1.245955078125000000e+03,5.160803198814392090e-01,1.274670000000000192e+00,7.182720899581909180e-01,4.269807040691375732e-01
