# x_coordinates, y_coordinates, TEP, TED, times, high, low
3.551178823358277725e+01,-3.881545576762070482e+01,1.707201782226562500e+03,3.464943468570709229e-01,1.459190000000000209e+00,8.308060765266418457e-01,5.408117175102233887e-01
3.551664242712013930e+01,-3.881053746017474282e+01,1.857880371093750000e+03,1.272280931472778320e+00,1.459200000000000053e+00,7.941085696220397949e-01,5.273076295852661133e-01
3.553149437869606686e+01,-3.879872041113437575e+01,1.118264648437500000e+03,9.408110976219177246e-01,1.459210000000000118e+00,7.793074846267700195e-01,4.458253681659698486e-01
3.555142049151871930e+01,-3.879304619884175764e+01,1.331335693359375000e+03,8.602601885795593262e-01,1.459220000000000184e+00,8.799395561218261719e-01,5.344792604446411133e-01
3.555577394542388703e+01,-3.878046588171457643e+01,1.838857299804687500e+03,9.657294154167175293e-01,1.459230000000000027e+00,8.166916370391845703e-01,5.410405993461608887e-01
3.555943411667454512e+01,-3.877722380979493977e+01,1.155592529296875000e+03,9.828121066093444824e-01,1.459240000000000093e+00,8.728442192077636719e-01,5.054111480712890625e-01
3.557195118129716604e+01,-3.876751033411614600e+01,1.832444580078125000e+03,8.913225531578063965e-01,1.459250000000000158e+00,9.194599986076354980e-01,6.086372733116149902e-01
3.558020045245874030e+01,-3.874570701525682637e+01,1.508034545898437500e+03,1.054558277130126953e+00,1.459260000000000224e+00,1.069530725479125977e+00,6.740214228630065918e-01
3.557540779818450716e+01,-3.874082353782481647e+01,1.477085449218750000e+03,1.279454946517944336e+00,1.459270000000000067e+00,1.136898517608642578e+00,7.123211622238159180e-01
3.558780280505442306e+01,-3.873369600985273564e+01,1.469952880859375000e+03,1.534296989440917969e+00,1.459280000000000133e+00,1.104320883750915527e+00,6.909587383270263672e-01
3.558902398978730020e+01,-3.871206579851519791e+01,1.238457763671875000e+03,1.651175737380981445e+00,1.459290000000000198e+00,8.134872913360595703e-01,4.825991988182067871e-01
3.558106441645583118e+01,-3.870289930966493586e+01,1.696029174804687500e+03,1.347178936004638672e+00,1.459300000000000042e+00,8.742938041687011719e-01,5.682013034820556641e-01
3.559106791196833797e+01,-3.868521490198089197e+01,1.883744995117187500e+03,1.020718336105346680e+00,1.459310000000000107e+00,1.066326379776000977e+00,7.102611660957336426e-01
