block,position,airflow,speed,power,pd,geometry,
E1A,0,600,500,80,0.16,single line,
E1A,1,600,500,120,0.24,single line,
E1A,2,600,700,56,0.08,single line,
E1A,3,600,1000,240,0.24,single line,
E1A,4,600,1250,300,0.24,single line,
E1A,5,600,1375,330,0.24,single line,
E1A,6,600,1500,240,0.16,single line,
E1A,7,600,1500,360,0.24,single line,
E1A,8,600,1600,128,0.08,single line,
E1A,9,600,1875,300,0.16,single line,
E1A,10,600,2187.5,350,0.16,single line,
E1A,11,600,2500,200,0.08,single line,
E1A,12,600,2500,400,0.16,single line,
E1A,13,600,2057,140,0.068060282,single line,
E1A,14,600,2138,385,0.180074836,single line,
E1A,15,600,2225,312,0.140224719,single line,
E1A,16,600,1550,360,0.2,4 line pad,
E1A,17,600,1800,360,0.2,4 line pad,
E1A,18,600,1350,360,0.3,4 line pad,
E1A,19,600,1200,360,0.3,4 line pad,
E1B,0,600,500,80,0.16,single line,
E1B,1,600,500,120,0.24,single line,
E1B,2,600,700,56,0.08,single line,
E1B,3,600,1000,240,0.24,single line,
E1B,4,600,1250,300,0.24,single line,
E1B,5,600,1375,330,0.24,single line,
E1B,6,600,1500,240,0.16,single line,
E1B,7,600,1500,360,0.24,single line,
E1B,8,600,1600,128,0.08,single line,
E1B,9,600,1875,300,0.16,single line,
E1B,10,600,2187.5,350,0.16,single line,
E1B,11,600,2500,200,0.08,single line,
E1B,12,600,2500,400,0.16,single line,
E1B,13,600,2057,140,0.068060282,single line,
E1B,14,600,2138,385,0.180074836,single line,
E1B,15,600,2225,312,0.140224719,single line,
E1B,16,600,1550,360,0.2,4 line pad,
E1B,17,600,1800,360,0.2,4 line pad,
E1B,18,600,1350,360,0.3,4 line pad,
E1B,19,600,1200,360,0.3,4 line pad,
E1C,0,600,500,80,0.16,single line,
E1C,1,600,500,120,0.24,single line,
E1C,2,600,700,56,0.08,single line,
E1C,3,600,1000,240,0.24,single line,
E1C,4,600,1250,300,0.24,single line,
E1C,5,600,1375,330,0.24,single line,
E1C,6,600,1500,240,0.16,single line,
E1C,7,600,1500,360,0.24,single line,
E1C,8,600,1600,128,0.08,single line,
E1C,9,600,1875,300,0.16,single line,
E1C,10,600,2187.5,350,0.16,single line,
E1C,11,600,2500,200,0.08,single line,
E1C,12,600,2500,400,0.16,single line,
E1C,13,600,2057,140,0.068060282,single line,
E1C,14,600,2138,385,0.180074836,single line,
E1C,15,600,2225,312,0.140224719,single line,
E1C,16,600,1550,360,0.2,4 line pad,
E1C,17,600,1800,360,0.2,4 line pad,
E1C,18,600,1350,360,0.3,4 line pad,
E1C,19,600,1200,360,0.3,4 line pad,
E1D,0,600,500,80,0.16,single line,
E1D,1,600,500,120,0.24,single line,
E1D,2,600,700,56,0.08,single line,
E1D,3,600,1000,240,0.24,single line,
E1D,4,600,1250,300,0.24,single line,
E1D,5,600,1375,330,0.24,single line,
E1D,6,600,1500,240,0.16,single line,
E1D,7,600,1500,360,0.24,single line,
E1D,8,600,1600,128,0.08,single line,
E1D,9,600,1875,300,0.16,single line,
E1D,10,600,2187.5,350,0.16,single line,
E1D,11,600,2500,200,0.08,single line,
E1D,12,600,2500,400,0.16,single line,
E1D,13,600,2057,140,0.068060282,single line,
E1D,14,600,2138,385,0.180074836,single line,
E1D,15,600,2225,312,0.140224719,single line,
E1D,16,600,1550,360,0.2,4 line pad,
E1D,17,600,1800,360,0.2,4 line pad,
E1D,18,600,1350,360,0.3,4 line pad,
E1D,19,600,1200,360,0.3,4 line pad,
C1A,0,600,500,80,0.16,single line,
C1A,1,600,500,120,0.24,single line,
C1A,2,600,700,56,0.08,single line,
C1A,3,600,1000,240,0.24,single line,
C1A,4,600,1250,300,0.24,single line,
C1A,5,600,1375,330,0.24,single line,
C1A,6,600,1500,240,0.16,single line,
C1A,7,600,1500,360,0.24,single line,
C1A,8,600,1600,128,0.08,single line,
C1A,9,600,1875,300,0.16,single line,
C1A,10,600,2187.5,350,0.16,single line,
C1A,11,600,2500,200,0.08,single line,
C1A,12,600,2500,400,0.16,single line,
C1A,13,600,2057,140,0.068060282,single line,
C1A,14,600,2138,385,0.180074836,single line,
C1A,15,600,2225,312,0.140224719,single line,
C1A,16,600,1550,360,0.2,4 line pad,
C1A,17,600,1800,360,0.2,4 line pad,
C1A,18,600,1350,360,0.3,4 line pad,
C1A,19,600,1200,360,0.3,4 line pad,
C1B,0,600,500,80,0.16,single line,
C1B,1,600,500,120,0.24,single line,
C1B,2,600,700,56,0.08,single line,
C1B,3,600,1000,240,0.24,single line,
C1B,4,600,1250,300,0.24,single line,
C1B,5,600,1375,330,0.24,single line,
C1B,6,600,1500,240,0.16,single line,
C1B,7,600,1500,360,0.24,single line,
C1B,8,600,1600,128,0.08,single line,
C1B,9,600,1875,300,0.16,single line,
C1B,10,600,2187.5,350,0.16,single line,
